20220308 19:55:00,18.9,0
20220308 20:55:00,17.8,0
20220308 21:55:00,17.9,0
20220308 22:55:00,18.0,0
20220308 23:55:00,17.5,0
20220309 00:55:00,17.4,0
20220309 01:55:00,17.4,0
20220309 02:55:00,17.3,0
20220309 03:55:00,17.3,0
20220309 04:55:00,17.3,0
20220309 05:55:00,17.2,0
20220309 06:55:00,17.1,0
20220309 07:55:00,17.1,0
20220309 08:55:00,16.5,0
20220309 09:55:00,16.5,0
20220309 10:55:00,16.5,0
20220309 11:55:00,16.7,0
20220309 12:55:00,16.7,0
20220309 13:55:00,,
20220309 14:55:00,17.0,0
20220309 15:55:00,17.1,0
20220309 16:55:00,17.1,0
20220309 17:55:00,17.2,0
20220309 18:55:00,17.2,0
20220309 19:55:00,17.9,0
20220309 20:55:00,18.4,0
20220309 21:55:00,18.4,
20220309 22:55:00,18.6,0
20220309 23:55:00,18.8,0
20220310 00:55:00,18.9,0
20220310 01:55:00,19.0,0
20220310 02:55:00,19.0,0
20220310 03:55:00,19.1,0
20220310 04:55:00,19.2,0
20220310 05:55:00,19.2,0
20220310 06:55:00,19.2,0
20220310 07:55:00,19.2,0
20220310 08:55:00,,
20220310 09:55:00,,
20220310 14:55:00,28.1,0
20220310 15:55:00,18.0,0
20220310 16:55:00,17.6,0
20220310 17:55:00,17.6,0
20220310 18:55:00,17.6,0
20220310 19:55:00,17.3,0
20220310 20:55:00,17.0,0
20220310 21:55:00,16.8,
20220310 22:55:00,16.6,0
20220310 23:55:00,16.4,0
20220311 00:55:00,16.1,0
20220311 01:55:00,15.9,0
20220311 02:55:00,15.7,0
20220311 03:55:00,15.5,0
20220311 04:55:00,15.4,0
20220311 05:55:00,15.3,0
20220311 06:55:00,15.2,0
20220311 07:55:00,15.2,0
20220311 08:55:00,15.1,0
20220311 09:55:00,15.2,0
20220311 10:55:00,15.5,0
20220311 11:55:00,15.9,0
20220311 12:55:00,16.6,0
20220311 13:55:00,17.0,0
20220311 14:55:00,17.3,0
20220311 15:55:00,17.5,0
20220311 16:55:00,17.6,0
20220311 17:55:00,17.6,0
20220311 18:55:00,17.6,0
20220311 19:55:00,17.6,0
20220311 20:55:00,17.6,0
20220311 21:55:00,17.5,
20220311 22:55:00,17.4,0
20220311 23:55:00,17.2,0
20220312 00:55:00,17.0,0
20220312 01:55:00,16.9,0
20220312 02:55:00,16.7,0
20220312 03:55:00,16.5,0
20220312 04:55:00,16.3,0
20220312 05:55:00,16.1,0
20220312 06:55:00,16.0,0
20220312 07:55:00,15.8,0
20220312 08:55:00,15.8,0
20220312 09:55:00,15.9,0
20220312 10:55:00,16.1,0
20220312 11:55:00,,
20220312 12:55:00,,
20220316 07:55:00,38,1
20220316 08:55:00,38.0,1
20220316 09:55:00,38.0,3
20220316 10:55:00,38,1
20220316 11:55:00,38,0
20220316 12:55:00,38,0
20220316 13:55:00,38,1
20220316 14:55:00,38,1
20220316 15:55:00,38.13,3
20220316 16:55:00,38.0,1
20220316 17:55:00,38,0
20220316 18:55:00,38.13,0
20220316 19:55:00,38.0,0
20220316 20:55:00,,
20220316 21:55:00,38.13,
20220316 22:55:00,38.19,0
20220316 23:55:00,38.0,0
20220317 00:55:00,38,0
20220317 01:55:00,38,0
20220317 02:55:00,38,0
20220317 03:55:00,38.58,0
20220317 04:55:00,38.0,1
20220317 05:55:00,38.0,0
20220317 06:55:00,38,1
20220317 07:55:00,38,1
20220317 08:55:00,38,2
20220317 09:55:00,38.3,2
20220317 10:55:00,38.24,1
20220317 11:55:00,38.13,0
20220317 12:55:00,38.13,1
20220317 13:55:00,38,2
20220317 14:55:00,38,2
20220317 15:55:00,38,3
20220317 16:55:00,38,1
20220317 17:55:00,38,0
20220317 18:55:00,38,2
20220317 19:55:00,38,0
20220317 20:55:00,38.3,0
20220317 21:55:00,38.41,
20220317 22:55:00,38,0
20220317 23:55:00,38,0
20220318 00:55:00,38,0
20220318 01:55:00,38,0
20220318 02:55:00,38,0
20220318 03:55:00,38,0
20220318 04:55:00,38,0
20220318 05:55:00,38,0
20220318 06:55:00,38.0,0
20220318 07:55:00,38.0,1
20220318 08:55:00,38.0,3
20220318 09:55:00,38.0,2
20220318 10:55:00,32.5,2
20220318 11:55:00,38.0,1
20220318 12:55:00,38.0,1
20220318 13:55:00,38.0,1
20220318 14:55:00,38.0,1
20220318 15:55:00,38.0,3
20220318 16:55:00,38,2
20220318 17:55:00,38.0,0
20220318 18:55:00,38.0,1
20220318 19:55:00,38,0
20220318 20:55:00,38,0
20220318 21:55:00,38.24,
20220318 22:55:00,38,1
20220318 23:55:00,38,1
20220319 00:55:00,38.24,0
20220319 01:55:00,38.19,0
20220319 02:55:00,38.24,0
20220319 03:55:00,38.24,0
20220319 04:55:00,38.19,0
20220319 05:55:00,38.19,0
20220319 06:55:00,38,0
20220319 07:55:00,38,1
20220319 08:55:00,38.0,2
20220319 09:55:00,38.0,3
20220319 10:55:00,38,1
20220319 11:55:00,38.19,1
20220319 12:55:00,38.41,0
20220319 13:55:00,38.3,1
20220319 14:55:00,38.24,1
20220319 15:55:00,38.35,3
20220319 16:55:00,38.3,1
20220319 17:55:00,38.13,1
20220319 18:55:00,38,0
20220319 19:55:00,38.19,2
20220319 20:55:00,38.69,0
20220319 21:55:00,38.13,
20220319 22:55:00,38.63,0
20220319 23:55:00,38.85,0
20220320 00:55:00,38.13,0
20220320 01:55:00,38,0
20220320 02:55:00,38,0
20220320 03:55:00,38,0
20220320 04:55:00,38,0
20220320 05:55:00,38,0
20220320 06:55:00,38,1
20220320 07:55:00,38.0,1
20220320 08:55:00,38.0,3
20220320 09:55:00,38.19,3
20220320 10:55:00,,
20220320 11:55:00,,
20220401 09:55:00,38,3
